WHO Region,WHO Country Name,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%)
Western Pacific Region,China,43.072987897125564,72.6146511627907,36.52178947368421,92.79388864084346,,
Western Pacific Region,Fiji,7.5649999999999995,,,54.165,,
Western Pacific Region,Japan,13.22203125,,23.269000000000002,97.82632335531876,,98.14320649416537
Western Pacific Region,Lao People's Democratic Republic,25.77,,,44.0,,
Western Pacific Region,Malaysia,20.63722222222222,29.702272727272728,13.470625,,,
Western Pacific Region,Mongolia,73.86583333333333,169.22,46.4,51.982683324999996,100.0,
Western Pacific Region,New Zealand,9.459772727272728,16.521633986928105,11.791818181818183,93.525,88.98814312049606,
Western Pacific Region,Philippines,29.710526315789473,53.021842105263154,,80.0,,
Western Pacific Region,Republic of Korea,23.274509803921568,43.927083333333336,36.983125,84.3578431372549,92.6015625,94.01458333333333
Western Pacific Region,Singapore,17.0,29.666666666666668,24.0,100.0,100.0,100.0
Western Pacific Region,Viet Nam,44.99,28.59047619047619,,79.79140365999999,,
